INFO  | 06/05/2025 03:40:39 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0800 iteration 00000800 = 0.008166038431227207
INFO  | 06/05/2025 03:40:39 AM | File gran_runner.py       | Line 270   | Saving Snapshot @ epoch 0800
INFO  | 06/05/2025 03:40:44 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0810 iteration 00000810 = 0.008109629154205322
INFO  | 06/05/2025 03:40:49 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0820 iteration 00000820 = 0.00803145207464695
INFO  | 06/05/2025 03:40:54 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0830 iteration 00000830 = 0.007964142598211765
INFO  | 06/05/2025 03:40:59 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0840 iteration 00000840 = 0.00790015235543251
INFO  | 06/05/2025 03:41:04 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0850 iteration 00000850 = 0.007855173200368881
INFO  | 06/05/2025 03:41:09 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0860 iteration 00000860 = 0.0077977110631763935
INFO  | 06/05/2025 03:41:14 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0870 iteration 00000870 = 0.007725251838564873
INFO  | 06/05/2025 03:41:19 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0880 iteration 00000880 = 0.007656401488929987
INFO  | 06/05/2025 03:41:23 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0890 iteration 00000890 = 0.007606225088238716
INFO  | 06/05/2025 03:41:28 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0900 iteration 00000900 = 0.007557833567261696
INFO  | 06/05/2025 03:41:28 AM | File gran_runner.py       | Line 270   | Saving Snapshot @ epoch 0900
INFO  | 06/05/2025 03:41:33 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0910 iteration 00000910 = 0.007497572340071201
INFO  | 06/05/2025 03:41:38 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0920 iteration 00000920 = 0.007431934587657452
INFO  | 06/05/2025 03:41:43 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0930 iteration 00000930 = 0.007368759717792273
